,ts_code,name,market,symbol
0,000001.SZ,平安银行,主板,000001
1,000002.SZ,万科A,主板,000002
2,000004.SZ,ST国华,主板,000004
3,000005.SZ,ST星源,主板,000005
4,000006.SZ,深振业A,主板,000006
5,000007.SZ,*ST全新,主板,000007
6,000008.SZ,神州高铁,主板,000008
7,000009.SZ,中国宝安,主板,000009
8,000010.SZ,美丽生态,主板,000010
9,000011.SZ,深物业A,主板,000011
10,000012.SZ,南玻A,主板,000012
11,000014.SZ,沙河股份,主板,000014
12,000016.SZ,深康佳A,主板,000016
13,000017.SZ,深中华A,主板,000017
14,000019.SZ,深粮控股,主板,000019
15,000020.SZ,深华发A,主板,000020
16,000021.SZ,深科技,主板,000021
17,000023.SZ,ST深天,主板,000023
18,000025.SZ,特力A,主板,000025
19,000026.SZ,飞亚达,主板,000026
20,000027.SZ,深圳能源,主板,000027
21,000028.SZ,国药一致,主板,000028
22,000029.SZ,深深房A,主板,000029
23,000030.SZ,富奥股份,主板,000030
24,000031.SZ,大悦城,主板,000031
25,000032.SZ,深桑达A,主板,000032
26,000034.SZ,神州数码,主板,000034
27,000035.SZ,中国天楹,主板,000035
28,000036.SZ,华联控股,主板,000036
29,000037.SZ,深南电A,主板,000037
30,000038.SZ,大通退,主板,000038
31,000039.SZ,中集集团,主板,000039
32,000040.SZ,东旭蓝天,主板,000040
33,000042.SZ,中洲控股,主板,000042
34,000045.SZ,深纺织A,主板,000045
35,000046.SZ,*ST泛海,主板,000046
36,000048.SZ,京基智农,主板,000048
37,000049.SZ,德赛电池,主板,000049
38,000050.SZ,深天马A,主板,000050
39,000055.SZ,方大集团,主板,000055
40,000056.SZ,皇庭国际,主板,000056
41,000058.SZ,深赛格,主板,000058
42,000059.SZ,华锦股份,主板,000059
43,000060.SZ,中金岭南,主板,000060
44,000061.SZ,农产品,主板,000061
45,000062.SZ,深圳华强,主板,000062
46,000063.SZ,中兴通讯,主板,000063
47,000065.SZ,北方国际,主板,000065
48,000066.SZ,中国长城,主板,000066
49,000068.SZ,华控赛格,主板,000068
50,000069.SZ,华侨城A,主板,000069
51,000070.SZ,特发信息,主板,000070
52,000078.SZ,海王生物,主板,000078
53,000088.SZ,盐田港,主板,000088
54,000089.SZ,深圳机场,主板,000089
55,000090.SZ,天健集团,主板,000090
56,000096.SZ,广聚能源,主板,000096
57,000099.SZ,中信海直,主板,000099
58,000100.SZ,TCL科技,主板,000100
59,000151.SZ,中成股份,主板,000151
60,000153.SZ,丰原药业,主板,000153
61,000155.SZ,川能动力,主板,000155
62,000156.SZ,华数传媒,主板,000156
63,000157.SZ,中联重科,主板,000157
64,000158.SZ,常山北明,主板,000158
65,000159.SZ,国际实业,主板,000159
66,000166.SZ,申万宏源,主板,000166
67,000301.SZ,东方盛虹,主板,000301
68,000333.SZ,美的集团,主板,000333
69,000338.SZ,潍柴动力,主板,000338
70,000400.SZ,许继电气,主板,000400
71,000401.SZ,冀东水泥,主板,000401
72,000402.SZ,金融街,主板,000402
73,000403.SZ,派林生物,主板,000403
74,000404.SZ,长虹华意,主板,000404
75,000407.SZ,胜利股份,主板,000407
76,000408.SZ,藏格矿业,主板,000408
77,000409.SZ,云鼎科技,主板,000409
78,000410.SZ,沈阳机床,主板,000410
79,000411.SZ,英特集团,主板,000411
80,000413.SZ,东旭光电,主板,000413
81,000415.SZ,渤海租赁,主板,000415
82,000416.SZ,*ST民控,主板,000416
83,000417.SZ,合肥百货,主板,000417
84,000419.SZ,通程控股,主板,000419
85,000420.SZ,吉林化纤,主板,000420
86,000421.SZ,南京公用,主板,000421
87,000422.SZ,湖北宜化,主板,000422
88,000423.SZ,东阿阿胶,主板,000423
89,000425.SZ,徐工机械,主板,000425
90,000426.SZ,兴业银锡,主板,000426
91,000428.SZ,华天酒店,主板,000428
92,000429.SZ,粤高速A,主板,000429
93,000430.SZ,张家界,主板,000430
94,000488.SZ,晨鸣纸业,主板,000488
95,000498.SZ,山东路桥,主板,000498
96,000501.SZ,武商集团,主板,000501
97,000503.SZ,国新健康,主板,000503
98,000504.SZ,南华生物,主板,000504
99,000505.SZ,京粮控股,主板,000505
100,000506.SZ,中润资源,主板,000506
101,000507.SZ,珠海港,主板,000507
102,000509.SZ,华塑控股,主板,000509
103,000510.SZ,新金路,主板,000510
104,000513.SZ,丽珠集团,主板,000513
105,000514.SZ,渝开发,主板,000514
106,000516.SZ,国际医学,主板,000516
107,000517.SZ,荣安地产,主板,000517
108,000518.SZ,四环生物,主板,000518
109,000519.SZ,中兵红箭,主板,000519
110,000520.SZ,长航凤凰,主板,000520
111,000521.SZ,长虹美菱,主板,000521
112,000523.SZ,广州浪奇,主板,000523
113,000524.SZ,岭南控股,主板,000524
114,000525.SZ,ST红太阳,主板,000525
115,000526.SZ,学大教育,主板,000526
116,000528.SZ,柳工,主板,000528
117,000529.SZ,广弘控股,主板,000529
118,000530.SZ,冰山冷热,主板,000530
119,000531.SZ,穗恒运A,主板,000531
120,000532.SZ,华金资本,主板,000532
121,000533.SZ,顺钠股份,主板,000533
122,000534.SZ,万泽股份,主板,000534
123,000536.SZ,华映科技,主板,000536
124,000537.SZ,广宇发展,主板,000537
125,000538.SZ,云南白药,主板,000538
126,000539.SZ,粤电力A,主板,000539
127,000540.SZ,*ST中天,主板,000540
128,000541.SZ,佛山照明,主板,000541
129,000543.SZ,皖能电力,主板,000543
130,000544.SZ,中原环保,主板,000544
131,000545.SZ,金浦钛业,主板,000545
132,000546.SZ,ST金圆,主板,000546
133,000547.SZ,航天发展,主板,000547
134,000548.SZ,湖南投资,主板,000548
135,000550.SZ,江铃汽车,主板,000550
136,000551.SZ,创元科技,主板,000551
137,000552.SZ,甘肃能化,主板,000552
138,000553.SZ,安道麦A,主板,000553
139,000554.SZ,泰山石油,主板,000554
140,000555.SZ,神州信息,主板,000555
141,000557.SZ,西部创业,主板,000557
142,000558.SZ,莱茵体育,主板,000558
143,000559.SZ,万向钱潮,主板,000559
144,000560.SZ,我爱我家,主板,000560
145,000561.SZ,烽火电子,主板,000561
146,000563.SZ,陕国投A,主板,000563
147,000564.SZ,ST大集,主板,000564
148,000565.SZ,渝三峡A,主板,000565
149,000566.SZ,海南海药,主板,000566
150,000567.SZ,海德股份,主板,000567
151,000568.SZ,泸州老窖,主板,000568
152,000570.SZ,苏常柴A,主板,000570
153,000571.SZ,ST大洲,主板,000571
154,000572.SZ,海马汽车,主板,000572
155,000573.SZ,粤宏远A,主板,000573
156,000576.SZ,甘化科工,主板,000576
157,000581.SZ,威孚高科,主板,000581
158,000582.SZ,北部湾港,主板,000582
159,000584.SZ,ST工智,主板,000584
160,000586.SZ,汇源通信,主板,000586
161,000589.SZ,贵州轮胎,主板,000589
162,000590.SZ,启迪药业,主板,000590
163,000591.SZ,太阳能,主板,000591
164,000592.SZ,平潭发展,主板,000592
165,000593.SZ,德龙汇能,主板,000593
166,000595.SZ,宝塔实业,主板,000595
167,000596.SZ,古井贡酒,主板,000596
168,000597.SZ,东北制药,主板,000597
169,000598.SZ,兴蓉环境,主板,000598
170,000599.SZ,青岛双星,主板,000599
171,000600.SZ,建投能源,主板,000600
172,000601.SZ,韶能股份,主板,000601
173,000603.SZ,盛达资源,主板,000603
174,000605.SZ,渤海股份,主板,000605
175,000606.SZ,顺利退,主板,000606
176,000607.SZ,华媒控股,主板,000607
177,000608.SZ,阳光股份,主板,000608
178,000609.SZ,中迪投资,主板,000609
179,000610.SZ,西安旅游,主板,000610
180,000612.SZ,焦作万方,主板,000612
181,000615.SZ,*ST美谷,主板,000615
182,000616.SZ,*ST海投,主板,000616
183,000617.SZ,中油资本,主板,000617
184,000619.SZ,海螺新材,主板,000619
185,000620.SZ,*ST新联,主板,000620
186,000622.SZ,恒立实业,主板,000622
187,000623.SZ,吉林敖东,主板,000623
188,000625.SZ,长安汽车,主板,000625
189,000626.SZ,远大控股,主板,000626
190,000627.SZ,天茂集团,主板,000627
191,000628.SZ,高新发展,主板,000628
192,000629.SZ,钒钛股份,主板,000629
193,000630.SZ,铜陵有色,主板,000630
194,000631.SZ,顺发恒业,主板,000631
195,000632.SZ,三木集团,主板,000632
196,000633.SZ,合金投资,主板,000633
197,000635.SZ,英力特,主板,000635
198,000636.SZ,风华高科,主板,000636
199,000637.SZ,ST实华,主板,000637
200,000638.SZ,万方发展,主板,000638
