code,date,close,high,low,max_price,rsi,rsi_var,trade_type,now_buy_sell,pre_middle_date,mid_step,common_buy_boll_days,common_sell_boll_days,sp_boll_days,principal,stock_num,add_flag,add_principal,delay_buy,low_rsi,win_stop
600073.SH,20220707,7.95,8.09,7.87,7.95,51.7184,0.0434,0,1,,0,0,0,0,100000.0,0.0,0,0.0,False,0,False
600073.SH,20220708,7.94,8.01,7.9,7.94,50.8509,-0.0168,0,1,,0,0,0,0,100000.0,0.0,0,0.0,False,0,False
600073.SH,20220711,7.98,8.08,7.88,7.98,54.5133,0.072,1,-1,20220711,1,0,0,0,2.6199999999953434,12531.0,0,0.0,False,0,False
600073.SH,20220712,7.86,8.07,7.84,7.98,42.9828,-0.2115,-2,-1,20220712,-2,0,0,0,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220713,7.85,7.87,7.76,7.98,42.0925,-0.0207,0,-1,20220712,-2,0,0,0,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220714,7.73,7.84,7.71,7.98,32.4218,-0.2297,0,-1,20220712,-2,0,0,0,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220715,7.49,7.76,7.49,7.98,20.8985,-0.3554,0,-1,20220712,-2,1,0,-1,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220718,7.6,7.65,7.54,7.98,33.8329,0.6189,0,-1,,0,0,0,-2,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220719,7.67,7.71,7.56,7.98,41.1778,0.2171,0,-1,,0,0,0,-3,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220720,7.71,7.78,7.65,7.98,45.3385,0.101,0,-1,,0,0,0,0,49245.52,6265.0,0,0.0,False,0,False
600073.SH,20220721,7.63,7.76,7.63,7.98,38.7588,-0.1451,-2,-1,20220721,-1,0,0,0,73142.68,3132.0,0,0.0,False,0,False
600073.SH,20220722,7.57,7.7,7.5,7.98,34.2812,-0.1155,0,-1,20220721,-1,0,0,0,73142.68,3132.0,0,0.0,False,0,False
600073.SH,20220725,7.5,7.62,7.48,7.98,29.5087,-0.1392,0,-1,20220721,-1,0,0,0,73142.68,3132.0,0,0.0,False,0,False
600073.SH,20220726,7.54,7.56,7.47,7.98,35.6516,0.2082,0,-1,20220721,-1,0,0,0,73142.68,3132.0,0,0.0,False,0,False
600073.SH,20220727,7.51,7.57,7.48,7.98,33.0588,-0.0727,0,-1,,0,0,0,0,73142.68,3132.0,0,0.0,False,0,False
600073.SH,20220728,7.5,7.62,7.48,7.98,32.1243,-0.0283,-2,-1,20220728,-1,0,0,0,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220729,7.43,7.52,7.43,7.98,25.96,-0.1919,0,-1,20220728,-1,0,0,0,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220801,7.38,7.45,7.35,7.98,22.2933,-0.1412,0,-1,20220728,-1,0,0,0,84887.68,1566.0,0,0.0,False,0,False
